name,spouse,parents,siblings,relatives,ancestors,Born,died,abilities,Bonded_with,titles,aliases,profession,groups,skills,species,residence,birthplace,religion,ethnicity,nationality,world,universe,featured_in
KanPaar , Born<->Second Generation, Species<->Kandra, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
MeLaan , Parents<->TenSoon, Born<->Seventh Generation, Aliases<->Milan, Species<->Kandra, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn,,,,,,,,,,,,,,,,
OreSeur , Born<->Third Generation, Died<->1023 FE[1], Abilities<->Blessing of Potency[2], Aliases<->Renoux, Groups<->Kelsier's crew, Species<->Kandra, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,
Paalm , Spouse<->Waxillium Ladrian, Born<->Third Generation, Died<->Suicide/ 341 PC[1], Abilities<->Hemalurgist, Aliases<->Bleeder/ Lessie/ Replar Innate, Species<->Kandra, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 2,,,,,,,,,,,,,,
ReLuur , Born<->Third Generation, Species<->Kandra, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 2,,,,,,,,,,,,,,,,,,
TarKavv , Species<->Kandra, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,,
TenSoon , Children<->MeLaan, Born<->Third Generation, Abilities<->Blessing of Presence/ Blessing of Potency, Titles<->Guardian of the Ascendant Warrior, Aliases<->OreSeur, Groups<->Kelsier's crew, Species<->Kandra, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn,,,,,,,,,,,,,
VarSell , Born<->Fifth Generation, Abilities<->Blessing of Potency[1], Species<->Kandra, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,
VenDell , Born<->Sixth Generation, Species<->Kandra, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 2,,,,,,,,,,,,,,,,,,
Koloss , Type<->Hemalurgic construct, Sapient<->Yes, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn,,,,,,,,,,,,,,,,,,
Donny , Groups<->Nightstreet Gang, Ethnicity<->Koloss, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 2,,,,,,,,,,,,,,,,,,
Elizandra Dramali , Species<->Koloss, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 2,,,,,,,,,,,,,,,,,,,
Granite Joe , Ethnicity<->Koloss, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 2,,,,,,,,,,,,,,,,,,,
Janarle , Died<->Battle of Hathsin[1], Titles<->King of the Northern Dominance[2], Groups<->Venture army, Species<->Koloss, Birthplace<->Northern Dominance, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,
Tarson , Died<->c 341 PC, Abilities<->Pewterarm, Groups<->Vanishers, Ethnicity<->Koloss, World<->Scadrial, Universe<->Cosmere, Featured In<->The Alloy of Law,,,,,,,,,,,,,,,,
Human , Groups<->Venture army, Species<->Koloss, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,
Noble , Related to<->Final Empire, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn,,,,,,,,,,,,,,,,,,,
House Aime , Type<->Family, Era<->Final Empire, World<->Scadrial, Universe<->Cosmere, Books<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Aledin , Siblings<->Troalin, Relatives<->Slowswift, Residence<->Fadrex City, Ethnicity<->Skaa/ Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,
Allrianne Cett , Spouse<->Breeze, Parents<->Ashweather/ Mother, Siblings<->Gneorndin, Descendants<->Edwarn/ Waxillium/ Telsin/ Hinston, Abilities<->Rioter, Groups<->Venture army, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,
Allrianne's mother , Spouse<->Ashweather Cett, Children<->Allrianne/ Gneorndin, Descendants<->Edwarn/ Waxillium/ Telsin/ Hinston/ Aving/ Westweather, Residence<->Fadrex City, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,
Amaranta , Born<->990s FE[1], Died<->1023 FE[2], Profession<->Herbalist, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,
Antillius Shezler , Abilities<->Mistborn, Profession<->Scholar, Residence<->Mantiz (Keep Shezler), Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->The Eleventh Metal,,,,,,,,,,,,,,,,
Aradan Yomen , Descendants<->Joshin Yomen[1], Abilities<->Seer, Titles<->King of Fadrex City/ The Last Obligator[2], Profession<->Obligator, Birthplace<->Luthadel, Residence<->Fadrex City, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,
Ardous Geffenry , Siblings<->Callins, Relatives<->Crews, Died<->1022 FE[1], Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,
Arriev , Profession<->High Prelan, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Ashweather Cett , Spouse<->Allrianne's mother, Children<->Allrianne/ Gneorndin, Descendants<->Edwarn/ Waxillium/ Telsin/ Hinston/ Aving/ Westweather, Groups<->Venture army, Birthplace<->Western Dominance, Residence<->Fadrex City, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,
Bedes , Died<->Battle of Luthadel[1], Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
House Buvidas , Type<->Family, Era<->Final Empire, World<->Scadrial, Universe<->Cosmere, Books<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Cabe , Residence<->Luthadel, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Callins Geffenry , Siblings<->Ardous, Relatives<->Crews, Died<->1022 FE, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,
Carlee , Spouse<->Tyden, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
House Cett , Type<->Family, Era<->Final Empire, World<->Scadrial, Universe<->Cosmere, Books<->Mistborn series,,,,,,,,,,,,,,,,,,
Charrs Entrone , Descendants<->Valette Entrone, Died<->1022 FE, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,
House Conrad , Type<->Family, Era<->Final Empire, World<->Scadrial, Universe<->Cosmere, Books<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Crews Geffenry , Relatives<->Ardous/ Callins, Abilities<->Mistborn, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,
Culee , Profession<->Military officer, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Dedri Vasting , Groups<->Luthadel Assembly, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Devinshae , Profession<->Plantation owner, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Dridel , Groups<->Luthadel Assembly, Residence<->Luthadel, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,
Dukaler , Groups<->Luthadel Assembly, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Edgard Ladrian , Spouse<->Allrianne Cett, Descendants<->Edwarn/ Waxillium/ Telsin/ Hinston, Abilities<->Soother, Aliases<->Breeze/ Counselor of Gods, Groups<->Kelsier's crew/ Venture army, Residence<->Luthadel, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,
House Elariel , Type<->Family, Era<->Final Empire, World<->Scadrial, Universe<->Cosmere, Books<->Mistborn (series),,,,,,,,,,,,,,,,,,
Elend Venture , Spouse<->Vin, Parents<->Straff/ Mother, Siblings<->Zane, Born<->1000 FE, Died<->1025 FE, Abilities<->Mistborn, Titles<->King of the Central Dominance (formerly)[1],,,,,,,,,,,,,,,,
High Emperor of the New Empire[2],,,,,,,,,,,,,,,,,,,,,,,
Last Emperor[3], Groups<->Kelsier's crew/ Venture army, Residence<->Luthadel, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,
Elend's mother , Spouse<->Straff, Children<->Elend, Residence<->Luthadel, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,
House Entrone , Type<->Family, Era<->Final Empire/ Elendel, World<->Scadrial, Universe<->Cosmere, Books<->Mistborn,,,,,,,,,,,,,,,,,,
House Erikell , Type<->Family, World<->Scadrial, Universe<->Cosmere, Books<->Mistborn (series),,,,,,,,,,,,,,,,,,,
House Erikeller , Type<->Family, Era<->Final Empire, World<->Scadrial, Universe<->Cosmere, Books<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Fedre , Profession<->Architect, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Fedren Aime , Family<->House Aime, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Felt , Spouse<->Malli[1], Abilities<->Worldhopper[2], Profession<->Spy/ military scout, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1/ The Stormlight Archive,,,,,,,,,,,,,,,,
Ferson Penrod , Family<->House Penrod, Died<->c 1025 FE, Groups<->Luthadel Assembly, Residence<->Luthadel, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,
Flavine , Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,,
House Gardre , Type<->Family, Era<->Final Empire, World<->Scadrial, Universe<->Cosmere, Books<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
House Geffenry , Type<->Family, Era<->Final Empire, World<->Scadrial, Universe<->Cosmere, Books<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Gneorndin Cett , Parents<->Ashweather/ mother, Siblings<->Allrianne, Groups<->Venture army, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,
House Harms , Type<->Family, Homeland<->Elendel, Era<->Post Catacendre, World<->Scadrial, Universe<->Cosmere, Books<->Mistborn Era 2,,,,,,,,,,,,,,,,,
House Hasting , Type<->Family, Era<->Final Empire, World<->Scadrial, Universe<->Cosmere, Books<->Mistborn (series),,,,,,,,,,,,,,,,,,
House Haught , Type<->Family, Era<->Final Empire, World<->Scadrial, Universe<->Cosmere, Books<->The Final Empire,,,,,,,,,,,,,,,,,,
Idren Seeris , Residence<->Luthadel, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
House Innate , Type<->Family, World<->Scadrial, Universe<->Cosmere, Books<->Mistborn Era 2,,,,,,,,,,,,,,,,,,,
House Izenry , Type<->Family, Era<->Final Empire, World<->Scadrial, Universe<->Cosmere, Books<->Mistborn (series),,,,,,,,,,,,,,,,,,
Janarle , Died<->Battle of Hathsin[1], Titles<->King of the Northern Dominance[2], Groups<->Venture army, Species<->Koloss, Birthplace<->Northern Dominance, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,
Jastes Lekal , Relatives<->Audil Lekal, Died<->Killed by Elend, Birthplace<->Luthadel, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,
Kale Tekiel , Relatives<->Tevidian Tekiel/ Salmen Tekiel/ Vin/ Vin's sister, Died<->c. 1022 FE, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,
Kevoux , Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,,
Kliss , Residence<->Luthadel, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Kurdon , Died<->1022 FE, Residence<->Tresting plantation, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,
House Ladrian , Type<->Family, Era<->Final Empire, World<->Scadrial, Universe<->Cosmere, Books<->Mistborn Era 2,,,,,,,,,,,,,,,,,,
Lady Patresen , Residence<->Fadrex City, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Laird , Profession<->Prelan, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
House Lekal , Type<->Family, Era<->Final Empire/ Post-Catacendre, World<->Scadrial, Universe<->Cosmere, Books<->Mistborn (series),,,,,,,,,,,,,,,,,,
Lord Habren , Groups<->Luthadel Assembly, Residence<->Luthadel, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,
Lord Hue , Groups<->Luthadel Assembly, Residence<->Luthadel, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,
Melend Liese , Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,,
Milen Davenpleu , Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,,
Noorden , Profession<->Obligator/ Scholar, Groups<->Venture army, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,
House Penrod , Type<->Family, Era<->Final Empire, World<->Scadrial, Universe<->Cosmere, Books<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Rene , Residence<->Luthadel, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
House Renoux , Type<->Family, Homeland<->Farmost Dominance, World<->Scadrial, Universe<->Cosmere, Books<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Rian Strobe , Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,,
Salmen Tekiel , Relatives<->Tevidian Tekiel/ Kale Tekiel/ Vin/ Vin's sister, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Shan Elariel , Family<->House Elariel, Died<->c. 1022 FE[1], Abilities<->Mistborn, Residence<->Luthadel, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,
House Shunah , Type<->Family, Era<->Final Empire, World<->Scadrial, Universe<->Cosmere, Books<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Slowswift , Relatives<->Aledin/ Troalin, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Stase Blanches , Residence<->Luthadel, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Straff Venture , Spouse<->Wife, Children<->Elend/ Zane, Died<->1023 FE, Abilities<->Tineye, Residence<->Urteau, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,
Tegas , Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,,
House Tekiel , Type<->Family, Era<->Final Empire/ Elendel, World<->Scadrial, Universe<->Cosmere, Books<->Mistborn (series),,,,,,,,,,,,,,,,,,
Telden Hasting , Family<->House Hasting, Residence<->Fadrex City, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,
House Teniert , Type<->Family, Era<->Final Empire, World<->Scadrial, Universe<->Cosmere, Books<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Teven Renoux , Family<->House Renoux, Died<->[1], Residence<->Fellise, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,
Tevidian Tekiel , Children<->Vin/ Vin's sister, Relatives<->Salmen Tekiel/ Kale Tekiel, Died<->1022 FE/ killed by Kar, Profession<->Lord Prelan, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,
Themos Tresting , Died<->1022 FE, Residence<->Tresting plantation, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,
Tren-Pedri Delouse , Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,,
Triss , Residence<->Luthadel, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Troalin , Siblings<->Aledin, Relatives<->Slowswift, Residence<->Fadrex City, Ethnicity<->Skaa/ Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,
Tyden , Spouse<->Carlee, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
House Urbain , Type<->Family, Era<->Final Empire, World<->Scadrial, Universe<->Cosmere, Books<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
House Venture , Type<->Family, Homeland<->Urteau, Era<->Final Empire, World<->Scadrial, Universe<->Cosmere, Books<->Mistborn (series),,,,,,,,,,,,,,,,,
Yestal , Residence<->Luthadel, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
House Yomen , Type<->Family, World<->Scadrial, Universe<->Cosmere, Books<->Mistborn Era 2,,,,,,,,,,,,,,,,,,,
Zane Venture , Parents<->Straff, Siblings<->Elend, Died<->1023 FE, Abilities<->Mistborn/ Hemalurgist, Aliases<->The Watcher, Birthplace<->Luthadel, Ethnicity<->Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,
Skaa , Related to<->Final Empire, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,,
Aledin , Siblings<->Troalin, Relatives<->Slowswift, Residence<->Fadrex City, Ethnicity<->Skaa/ Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,
Bilg , Died<->1025 FE, Groups<->Yeden's army (former),,,,,,,,,,,,,,,,,,,,,
Venture army, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,,
Camon , Died<->c 1022 FE[1], Groups<->Camon's crew, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,
Cladent , Siblings<->Margel, Relatives<->Spook, Died<->1024 FE, Abilities<->Smoker, Aliases<->Clubs, Groups<->Kelsier's crew/ Venture army, Residence<->Luthadel, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,
Cled , Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,,
Cobble , Abilities<->Smoker, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Cosahn , Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,,
Demoux , Spouse<->Aslydin[1], Abilities<->Seer/ Worldhopper, Aliases<->Thinker, Profession<->Captain (of the Skaa Rebellion)/ Preacher (of the Church of the Survivor)/ General (in the New Empire), Religion<->Survivorism, Groups<->Kelsier's crew/ Venture army/ Seventeenth Shard, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1/ The Stormlight Archive,,,,,,,,,,,,,
Disten , Died<->[1], Groups<->Camon's crew, Residence<->Luthadel, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,
Dockson , Born<->980s FE[1], Died<->1024 FE[2], Groups<->Kelsier's crew/ Venture army, Residence<->Luthadel, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,
Druffel , Siblings<->Fatren, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Durn , Profession<->Thief lord, Residence<->Urteau, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,
Fatren , Siblings<->Druffel, Aliases<->Fats[1], Residence<->Vetitan, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,
Flen , Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,,
Getrue , Profession<->Merchant, Groups<->Luthadel Assembly, Residence<->Luthadel, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,
Goradel , Descendants<->Claude Aradel[1], Died<->1025 FE, Groups<->Venture army, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,
Hammond , Spouse<->Mardra, Abilities<->Thug, Groups<->Kelsier's crew/ Venture army, Residence<->Luthadel, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,
Haws , Groups<->Luthadel Assembly, Residence<->Luthadel, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,
Hettel , Groups<->Luthadel Assembly, Residence<->Luthadel, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,
Hilde , Residence<->Luthadel, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Jasten , Siblings<->Thurts, Profession<->Canal worker, Groups<->Luthadel Assembly, Residence<->Luthadel, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,
Jedal , Spouse<->Margel, Children<->Spook, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,
Jell , Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,,
Jess , Children<->Daughter, Residence<->Tresting plantation, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,
Kareien , Died<->Killed by Devinshae[1], Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Kelsier , Spouse<->Mare, Parents<->Mother, Siblings<->Marsh, Born<->c. 984 FE[1], Died<->1022 FE[2], Abilities<->Mistborn/ Sliver/ Cognitive Shadow/ Shard of Preservation (former)/ Hemalurgist, Titles<->Survivor of Hathsin/ Sovereign/ Lord of Scars/[3][4] Thaidakar[3][5]/ others, Groups<->Kelsier's crew/ Ghostbloods, Residence<->Luthadel, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn,,,,,,,,,,
Kelsier's mother , Children<->Kelsier/ Marsh, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Larn (Scadrial) , Residence<->Luthadel, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Mardra , Spouse<->Hammond, Profession<->Seamstress[1], Residence<->Unnamed Luthadel satellite city[1], Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,
Mare , Spouse<->Kelsier, Died<->1019 FE in the Pits of Hathsin, Abilities<->Tineye, Groups<->Kelsier's crew, Residence<->Luthadel, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,
Margel , Spouse<->Jedal, Children<->Spook, Siblings<->Cladent, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,
Marsh , Parents<->Mother, Siblings<->Kelsier, Born<->c. 980 FE[1][2], Abilities<->Seeker[3]/ Hemalurgist, Aliases<->Ironeyes[4]/ Death[5], Groups<->Kelsier's crew, Species<->Steel Inquisitor, Residence<->Luthadel, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn,,,,,,,,,,,
Mennis , Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,,
Midge , Groups<->Venture army, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Milev , Died<->1022 FE, Groups<->Camon's crew, Residence<->Luthadel, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,
Olid , Titles<->Foreign Minister, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
